,TrainDI,ValDI,TrainFCIT,ValFCIT,TrainFC,ValFC
1,160.4329,142.8057,184.3177,162.5778,189.1657,166.8391
2,139.9562,140.2338,160.224,158.7706,165.9591,165.0887
3,116.541,106.5056,157.9215,157.3963,164.6237,164.2279
4,105.6056,104.4206,157.1726,157.2659,164.1365,163.8156
5,104.1773,103.9779,156.7759,157.0134,163.9884,163.9276
6,103.3938,101.5278,156.5201,156.463,163.8658,163.8015
7,98.5651,96.3612,156.2449,156.5433,163.8266,163.6351
8,95.8649,94.4068,155.9427,156.9403,163.7453,163.6271
9,94.365,93.1239,155.5395,155.8163,163.675,163.7181
10,93.2003,92.7928,155.2126,155.4688,163.5891,163.4759
11,91.9854,92.6474,154.9818,155.0621,163.4327,162.7433
12,91.103,90.5438,154.7935,155.0999,161.4708,160.6747
13,90.4057,90.203,154.5362,154.4297,160.2866,159.9659
14,89.9566,89.5247,154.0252,153.7791,160.1027,160.3503
15,89.5427,89.2699,153.5762,153.401,159.9941,160.0579
16,89.2107,89.1513,153.2443,153.1811,159.9453,159.8418
17,88.9477,88.5805,152.8769,152.9249,159.8994,160.3402
18,88.7405,89.5561,152.6353,152.4691,159.8734,160.0417
19,88.1362,89.1432,152.4464,152.4404,159.86,159.8519
20,87.1938,88.8711,152.3062,152.4115,159.8459,160.4729
21,86.6892,87.6057,152.2239,152.3951,159.8224,159.7468
22,86.2843,86.6962,152.1291,152.4485,159.8025,160.1714
23,86.0201,86.3036,151.8286,151.9322,159.7879,160.07
24,85.8038,85.6137,151.4405,151.5775,159.753,159.8031
25,85.6143,85.5833,151.2337,151.892,159.7527,159.9374
26,85.4714,85.6793,151.1271,151.4874,159.758,160.6322
27,85.3372,85.8939,150.9974,151.3265,159.736,160.1635
28,85.2178,85.4869,150.8719,151.2254,159.7136,159.7845
29,85.0769,85.7524,150.6808,150.9341,159.7199,159.9535
30,85.0154,85.4551,150.5297,150.7454,159.6876,160.1683
31,84.956,85.3348,150.4284,150.71,159.6826,159.7992
32,84.8556,85.0796,150.3573,150.5315,159.6884,160.6639
33,83.7412,84.6218,149.6231,150.1941,159.2414,159.4885
34,83.6322,84.5849,149.5396,150.1757,159.1813,159.4906
35,83.5945,84.7385,149.5196,150.1913,159.1722,159.488
36,83.5632,84.5766,149.5097,150.1896,159.1708,159.5436
37,83.5529,84.6733,149.5023,150.1441,159.1693,159.6179
38,83.53,84.5489,149.4891,150.2493,159.1648,159.5609
39,83.5095,84.6021,149.4863,150.1469,159.1692,159.4755
40,83.4965,84.5058,149.4752,150.1496,159.1658,159.6418
41,83.4889,84.5288,149.4719,150.1127,159.1636,159.5329
42,83.4699,84.5558,149.4707,150.1256,159.1599,159.4941
43,83.4614,84.5332,149.4703,150.1019,159.1581,159.5015
44,83.4422,84.4639,149.4583,150.1409,159.1589,159.4956
45,83.4323,84.5436,149.4514,150.1285,159.1582,159.4987
46,83.4172,84.5,149.4488,150.0871,159.1622,159.4726
47,83.4147,84.446,149.4349,150.1067,159.1573,159.4845
48,83.3967,84.4587,149.4342,150.143,159.1509,159.5414
49,83.3865,84.4574,149.4329,150.1001,159.1599,159.4838
50,83.3788,84.434,149.4252,150.0943,159.1558,159.4639
51,83.3585,84.4198,149.4226,150.1762,159.1527,159.4733
52,83.3512,84.4556,149.415,150.1865,159.1503,159.4653
53,83.3441,84.4167,149.4137,150.0827,159.1549,159.4588
54,83.3306,84.4608,149.4124,150.1737,159.1513,159.4665
55,83.322,84.4592,149.4107,150.078,159.1528,159.4697
56,83.3137,84.4246,149.4,150.1763,159.1496,159.4764
57,83.3061,84.3835,149.3952,150.0825,159.1495,159.4556
58,83.2893,84.3676,149.3912,150.0488,159.1429,159.489
59,83.2854,84.3661,149.3893,150.0881,159.1454,159.4814
60,83.2778,84.3525,149.3886,150.048,159.1495,159.4713
61,83.2653,84.3267,149.3816,150.0255,159.1461,159.5841
62,83.259,84.3358,149.3746,150.0405,159.1519,159.4617
63,83.2485,84.482,149.3764,150.0351,159.1388,159.4553
64,83.2346,84.376,149.3759,150.0441,159.1461,159.4631
65,83.0954,84.2768,149.2837,150.0296,159.0921,159.4462
66,83.0856,84.2817,149.2775,150.0266,159.0896,159.4395
67,83.0815,84.2735,149.271,150.0207,159.0867,159.4442
68,83.0767,84.2854,149.274,150.0246,159.0801,159.4546
69,83.0774,84.2691,149.2741,150.0229,159.088,159.4486
70,83.0761,84.2791,149.2702,150.0091,159.0821,159.4529
71,83.0778,84.2746,149.2688,150.0124,159.0831,159.4425
72,83.0746,84.2816,149.2707,150.008,159.0845,159.4457
73,83.0744,84.2825,149.2715,150.0133,159.0859,159.4505
74,83.0724,84.2868,149.2721,150.021,159.0837,159.4419
75,83.0726,84.2732,149.2713,150.022,159.0787,159.4502
76,83.0695,84.2721,149.2692,149.9988,159.0807,159.4379
77,83.069,84.2897,149.2689,150.0189,159.0832,159.4404
78,83.07,84.2724,149.2671,150.0218,159.0821,159.451
79,83.0681,84.274,149.2659,150.0069,159.0846,159.4448
80,83.0639,84.2748,149.267,150.0031,159.0822,159.4485
81,83.0651,84.2931,149.2647,150.0186,159.0854,159.4494
82,83.0656,84.273,149.266,150.0132,159.0813,159.4385
83,83.0589,84.2803,149.2659,150.0049,159.0822,159.4623
84,83.0622,84.272,149.2673,150.0118,159.0788,159.4523
85,83.0574,84.2678,149.2682,150.0198,159.0828,159.4468
86,83.0626,84.2706,149.2655,150.0105,159.0784,159.4514
87,83.0591,84.2669,149.2677,150.0089,159.0836,159.4456
88,83.0595,84.2692,149.264,150.0174,159.0814,159.4522
89,83.0596,84.2714,149.2669,150.0117,159.0817,159.4529
90,83.0588,84.2738,149.2638,150.0052,159.0837,159.4433
91,83.0561,84.3047,149.2642,150.0199,159.0819,159.455
92,83.057,84.2563,149.2659,150.0084,159.0849,159.4509
93,83.0523,84.2758,149.2634,150.0131,159.0842,159.4553
94,83.0512,84.2751,149.2641,150.0144,159.0819,159.44
95,83.0505,84.2721,149.2654,150.0171,159.0794,159.441
96,83.0523,84.2833,149.2651,150.0137,159.083,159.4414
